X'[mm], Z'[mm], Smoothed_Strain[um/m]
0.000000, 0.850000, -21.409763
0.000000, 1.100000, -231.689502
0.000000, 1.350000, -337.141074
0.000000, 1.600000, -338.773134
0.000000, 1.850000, -268.386793
0.000000, 2.100000, -175.752714
0.000000, 2.350000, -108.837576
0.000000, 2.600000, -95.742916
0.000000, 2.850000, -136.161944
0.000000, 3.350000, -268.317692
0.000000, 3.850000, -272.461106
0.000000, 4.350000, -114.161715
0.000000, 4.850000, 67.018235
0.000000, 5.350000, 167.149503
0.000000, 5.850000, 157.204302
0.000000, 6.350000, 39.289848
0.000000, 6.850000, -131.742378
0.000000, 7.350000, -259.349671
0.000000, 7.850000, -279.674395
0.000000, 8.350000, -203.406221
0.000000, 8.850000, -109.981404
0.000000, 9.350000, -89.769779
0.000000, 9.850000, -133.149812
0.000000, 10.350000, -116.490175
0.000000, 10.850000, 20.649484
0.000000, 11.350000, 143.924964
0.000000, 11.850000, 87.212874
0.000000, 12.350000, -104.996322
0.000000, 12.850000, -244.724392
0.000000, 13.350000, -263.453494
0.000000, 13.850000, -242.899945
0.000000, 14.350000, -237.536433
0.000000, 14.850000, -243.401577
0.000000, 15.350000, -283.948390
0.000000, 15.850000, -358.038255
0.000000, 16.350000, -374.215093
0.000000, 16.850000, -283.497363
0.000000, 17.350000, -180.973492
0.000000, 17.850000, -154.731504
0.000000, 18.350000, -157.321353
0.000000, 18.850000, -125.142389
0.000000, 19.350000, -93.014789
0.000000, 19.850000, -103.507450
0.000000, 20.350000, -115.340445
0.000000, 20.850000, -88.112106
0.000000, 21.350000, -79.213064
0.000000, 21.850000, -161.264704
0.000000, 22.350000, -278.963786
0.000000, 22.850000, -284.492910
0.000000, 23.350000, -126.796249
0.000000, 23.650000, -2.659573
0.000000, 23.900000, 81.497633
0.000000, 24.150000, 130.018868
0.000000, 24.400000, 138.736471
0.000000, 24.650000, 116.593796
0.000000, 24.900000, 81.935827
0.100000, 0.850000, -24.866812
0.100000, 1.100000, -276.507940
0.100000, 1.350000, -421.969125
0.100000, 1.600000, -456.739710
0.100000, 1.850000, -408.745936
0.100000, 2.100000, -326.406485
0.100000, 2.350000, -258.952641
0.100000, 2.600000, -237.707484
0.100000, 2.850000, -266.431612
0.100000, 3.350000, -378.534899
0.100000, 3.850000, -377.740573
0.100000, 4.350000, -226.386535
0.100000, 4.850000, -54.444981
0.100000, 5.350000, 39.705901
0.100000, 5.850000, 27.948685
0.100000, 6.350000, -87.650561
0.100000, 6.850000, -254.086150
0.100000, 7.350000, -380.427847
0.100000, 7.850000, -406.079244
0.100000, 8.350000, -336.305002
0.100000, 8.850000, -243.419051
0.100000, 9.350000, -220.254377
0.100000, 9.850000, -267.296241
0.100000, 10.350000, -266.729110
0.100000, 10.850000, -153.037911
0.100000, 11.350000, -48.295296
0.100000, 11.850000, -107.870451
0.100000, 12.350000, -285.878764
0.100000, 12.850000, -403.963905
0.100000, 13.350000, -406.558419
0.100000, 13.850000, -381.253210
0.100000, 14.350000, -379.955189
0.100000, 14.850000, -394.198573
0.100000, 15.350000, -443.460028
0.100000, 15.850000, -521.003993
0.100000, 16.350000, -531.430312
0.100000, 16.850000, -430.577498
0.100000, 17.350000, -325.016681
0.100000, 17.850000, -308.692295
0.100000, 18.350000, -327.195631
0.100000, 18.850000, -304.700701
0.100000, 19.350000, -272.302087
0.100000, 19.850000, -280.904990
0.100000, 20.350000, -297.588245
0.100000, 20.850000, -277.677316
0.100000, 21.350000, -265.851974
0.100000, 21.850000, -328.259089
0.100000, 22.350000, -414.000035
0.100000, 22.850000, -382.731717
0.100000, 23.350000, -188.702657
0.100000, 23.650000, -45.002819
0.100000, 23.900000, 53.180933
0.100000, 24.150000, 113.143516
0.100000, 24.400000, 130.538726
0.100000, 24.650000, 114.458533
0.100000, 24.900000, 83.648226
0.200000, 0.850000, -4.421656
0.200000, 1.100000, -295.527171
0.200000, 1.350000, -480.491659
0.200000, 1.600000, -549.101791
0.200000, 1.850000, -524.937958
0.200000, 2.100000, -454.469529
0.200000, 2.350000, -387.676982
0.200000, 2.600000, -358.841155
0.200000, 2.850000, -375.839097
0.200000, 3.350000, -467.317876
0.200000, 3.850000, -462.338918
0.200000, 4.350000, -320.075779
0.200000, 4.850000, -159.277764
0.200000, 5.350000, -71.903205
0.200000, 5.850000, -85.124095
0.200000, 6.350000, -196.714845
0.200000, 6.850000, -355.692090
0.200000, 7.350000, -477.977507
0.200000, 7.850000, -507.537022
0.200000, 8.350000, -444.211193
0.200000, 8.850000, -351.947668
0.200000, 9.350000, -324.837552
0.200000, 9.850000, -373.564618
0.200000, 10.350000, -387.467470
0.200000, 10.850000, -296.937832
0.200000, 11.350000, -211.092520
0.200000, 11.850000, -273.208872
0.200000, 12.350000, -436.111861
0.200000, 12.850000, -532.535659
0.200000, 13.350000, -520.457274
0.200000, 13.850000, -492.147987
0.200000, 14.350000, -495.473447
0.200000, 14.850000, -516.996535
0.200000, 15.350000, -572.626923
0.200000, 15.850000, -651.109153
0.200000, 16.350000, -654.475584
0.200000, 16.850000, -543.710969
0.200000, 17.350000, -435.673338
0.200000, 17.850000, -429.194585
0.200000, 18.350000, -463.322077
0.200000, 18.850000, -450.472531
0.200000, 19.350000, -417.529186
0.200000, 19.850000, -423.450968
0.200000, 20.350000, -444.356084
0.200000, 20.850000, -431.695114
0.200000, 21.350000, -416.708440
0.200000, 21.850000, -458.593007
0.200000, 22.350000, -512.207586
0.200000, 22.850000, -447.050658
0.200000, 23.350000, -223.445549
0.200000, 23.650000, -65.219108
0.200000, 23.900000, 42.980315
0.200000, 24.150000, 111.048785
0.200000, 24.400000, 134.762043
0.200000, 24.650000, 123.414103
0.200000, 24.900000, 95.957058
0.300000, 0.850000, 39.863511
0.300000, 1.100000, -287.913439
0.300000, 1.350000, -511.003915
0.300000, 1.600000, -613.439751
0.300000, 1.850000, -614.079557
0.300000, 2.100000, -556.881092
0.300000, 2.350000, -492.028522
0.300000, 2.600000, -456.415854
0.300000, 2.850000, -461.981514
0.300000, 3.350000, -532.764774
0.300000, 3.850000, -524.380257
0.300000, 4.350000, -393.005850
0.300000, 4.850000, -244.829411
0.300000, 5.350000, -164.739871
0.300000, 5.850000, -179.012414
0.300000, 6.350000, -285.031886
0.300000, 6.850000, -433.867039
0.300000, 7.350000, -549.328813
0.300000, 7.850000, -581.194066
0.300000, 8.350000, -524.076256
0.300000, 8.850000, -432.524487
0.300000, 9.350000, -400.622617
0.300000, 9.850000, -449.063174
0.300000, 10.350000, -475.484280
0.300000, 10.850000, -407.267523
0.300000, 11.350000, -340.213203
0.300000, 11.850000, -404.458114
0.300000, 12.350000, -551.674646
0.300000, 12.850000, -626.934479
0.300000, 13.350000, -602.071808
0.300000, 13.850000, -572.683321
0.300000, 14.350000, -581.103858
0.300000, 14.850000, -608.549959
0.300000, 15.350000, -667.963681
0.300000, 15.850000, -744.874946
0.300000, 16.350000, -740.201143
0.300000, 16.850000, -620.171028
0.300000, 17.350000, -510.343355
0.300000, 17.850000, -513.292673
0.300000, 18.350000, -562.176455
0.300000, 18.850000, -558.534673
0.300000, 19.350000, -524.704490
0.300000, 19.850000, -527.183777
0.300000, 20.350000, -551.544640
